Error processing line 1: could not convert string to float: 'Longitude'
Latitude: 37.0054180503277, Longitude: 82.73876580909214 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.99945788592423, Longitude: 82.75719645605679 --> Address: 西和高速, 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.99501716839006, Longitude: 82.76745784328574 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.01757301349943, Longitude: 82.7737342257656 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.019910645288206, Longitude: 82.76915147030412 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.006937354491335, Longitude: 82.762974712943 --> Address: 西和高速, 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.03545703659048, Longitude: 82.73587668064906 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.01885870543867, Longitude: 82.72860404698193 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.01885870543867, Longitude: 82.71226552751055 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.01172913003072, Longitude: 82.69214125352757 --> Address: G315, 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.00249636472909, Longitude: 82.70140638956924 --> Address: 尼雅乡 نىيە يېزىسى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Error processing line 64: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.02727447830961&lon=82.67540423358132&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEB7510>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Error processing line 65: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.02400160873717&lon=82.68676149711627&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEC52D0>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Error processing line 66: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.029144728934156&lon=82.668928600864&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEDC090>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
