Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.313707,31.596041,3,ttsgepcs6buj,Badami Bagh,,,Badami Bagh,"Badami Bagh, Qila Lachman Singh, Lahore District, Pakistan"
74.314647,31.574808,5,ttsgeh428fbu,Hospital Road ?????? ???,,Hospital Road ?????? ???,Anårkali,"Hospital Road ?????? ???, Anårkali, Lahore, Pakistan"
74.314781,31.576374,5,ttsgeh63eyuf,Zam Zam Market,,Zam Zam Market,Walled City of Lahore,"Zam Zam Market, Walled City of Lahore, Lahore, Pakistan"
74.315116,31.548944,1,ttsg7p69gtrp,Qartaba Chowk Metrobus,Qartaba Chowk Metrobus,Queen's Road,Charing Cross,"Qartaba Chowk Metrobus, Queen's Road, Charing Cross, Lahore 54357, Pakistan"
74.315116,31.464461,2,ttsfgpftg8xn,Model Town Link Road,Model Town Link Road,Model Town Link Road,Township,"Model Town Link Road, Township, Model Town Tehsil 54700, Pakistan"
74.315295,31.582102,5,ttsgej6epfs9,Naya Bazaar,Naya Bazaar,Naya Bazaar,Walled City of Lahore,"Naya Bazaar, Walled City of Lahore, Walled City, Pakistan"
74.315474,31.416671,1,ttsfep4zk5fn,Defence Road,Defence Road,Defence Road,Town Ship Industrial Estate,"Defence Road, Town Ship Industrial Estate, Ghawala Colony 04200, Pakistan"
74.315654,31.584026,5,ttsgejen21px,Kareem Bakhsh,Kareem Bakhsh,Kali Beri Bazaar,Walled City of Lahore,"Kareem Bakhsh, Kali Beri Bazaar, Walled City of Lahore, Walled City, Pakistan"
74.316369,31.530866,4,ttsg7h588gt2,Ichhra,,,Ichhra,"Ichhra, Model Town Tehsil 54357, Pakistan"
74.316996,31.50008,2,ttsg5n7vr889,Top-Notch E-Commerce,Top-Notch E-Commerce,Main Boulevard Garden Town,Garden Town,"Top-Notch E-Commerce, M49, first Floor, Garden hight Plaza Main Boulevard Garden Town, Garden Town, Model Town Tehsil 54000, Pakistan"
74.317175,31.575368,5,ttsgehh5genh,Shah Almi Gate,Shah Almi Gate,,Gwål Mandi,"Shah Almi Gate, Gwål Mandi, Lahore, Pakistan"
74.317578,31.542367,1,ttsg7nh7t563,Rescue 1122,Rescue 1122,Firozpur Road,Saadi Park,"Rescue 1122, Firozpur Road, Saadi Park, Lahore 54357, Pakistan"
74.317689,31.576956,5,ttsgehkmpem8,Walled City,,,,"Walled City, Lahore District, Pakistan"
74.317801,31.443162,2,ttsfghh9dq1h,Shah Jilani Road,Shah Jilani Road,Shah Jilani Road,Town Ship Industrial Estate,"Shah Jilani Road, Town Ship Industrial Estate, Model Town Tehsil 54770, Pakistan"
74.317846,31.588904,5,ttsgensdeq6w,Sheikh Traders,Sheikh Traders,Circular Road,Faiz Bagh,"Sheikh Traders, 1st floor Circular Road, Faiz Bagh, Lahore, Pakistan"
74.318092,31.578433,5,ttsgehsv9nd1,Bismillah Cosmetics,Bismillah Cosmetics,Shah Alami Road,Alamgir Market,"Bismillah Cosmetics, Shah Alami Road, Alamgir Market, Walled City, Pakistan"
