Longitude,Latitude,Level
8263166.880645979,3687716.3458821857,2
8266444.547052123,3689397.606659964,2
8264631.369891278,3691289.3013545326,2
8263455.79349029,3692900.9759037527,2
8264970.095294951,3688066.5894886106,2
8258614.012720119,3684424.54590175,3
8267042.297764488,3683490.86309913,4
8266843.047527031,3685988.6241439707,4
8268735.924782859,3687366.112302432,4
8266344.921933392,3680876.9298780817,1
8263635.118703997,3680620.2343709865,2
8277941.285753304,3683957.69560065,2
8271465.653036,3684424.54590175,3
8261572.878746335,3690915.6100689787,3
8256531.847738709,3685731.821465681,2
8259440.90120556,3689747.898413115,2
8271415.840476638,3689911.371331855,2
8273019.804888155,3690436.834801678,2
8274598.863019989,3698444.1899665706,5
8275326.126386699,3699379.01565151,5
8275585.151695393,3699262.1585247363,5
8273273.848940907,3699484.188022395,4
8272377.222872357,3698397.4505618718,3
8269089.593954342,3698128.7024581083,3
8271191.683959497,3699192.0447857957,3
8271560.296898791,3699379.0156515106,3
8273104.486239071,3701038.5076434743,3
8266887.878830458,3702148.8572075167,4
8267236.566746004,3699308.901241163,4
8264118.300529826,3696481.2890353184,5
8263929.012804243,3696119.1215637582,5
8263092.16180693,3693537.5291115534,4
8269966.294999142,3706170.3375994824,3
8270982.471210167,3706521.1110111712,4
8274324.893943483,3708737.063155284,5
8273024.786144085,3709468.0065080402,5
8274877.813352422,3707971.081599892,3
8276506.684043622,3707281.154716681,2
8278698.436655632,3711076.2363645923,3
8280133.038365308,3708386.2259291164,3
8278588.84902503,3707263.61471205,2
8277522.860254643,3711754.6806795895,1
8275082.044845812,3712058.823167069,1
8274753.281954012,3711228.2981814602,2
8274842.944560867,3709953.3771358198,3
8275380.920201996,3708386.2259291164,3
8278728.324191249,3709052.8253007126,3
8284825.3814573875,3706035.8771356796,4
8283719.542639511,3704960.2468324704,3
8283052.054344033,3704165.2767472398,3
8280033.413246582,3704375.7049595066,4
8279903.900592237,3703054.743572792,3
8279973.638175347,3701663.79733289,4
8278738.286703122,3701698.861255281,4
8279754.4629141465,3698613.6218090216,2
8279874.013056619,3700717.109527282,3
8279714.612866655,3697970.961761688,3
8279345.9999273615,3697176.447021295,3
8281727.040264955,3695692.7123411,4
8282902.616665943,3694185.79627768,2
8282454.303631668,3694617.993499719,2
8276377.171389274,3693333.1276780698,2
8277393.347600297,3694793.2129459633,2
8274016.056075424,3692480.5185751338,3
8273318.68024433,3690962.320854997,3
8271923.928582143,3691592.933935578,3
8271336.140381648,3694139.073169524,3
8268935.17502031,3692462.9998336956,2
8268486.861986035,3692083.4332686923,2
8267679.898524338,3691009.0318194847,2
8284994.744159223,3697772.32822872,1
8284895.119040494,3699338.1155298497,1
8287266.196866215,3694734.8061846164,1
8287983.497721055,3691511.1859602965,1
8272760.779579456,3686980.8669439084,1
8279654.837795416,3689245.8166828514,1
8265328.745722364,3684039.3931183442,2
8269991.201278823,3684622.9626704324,3
8259948.989311067,3686864.1283208407,2
8260566.665047179,3686140.3737139506,2
8255386.158873336,3685019.805855646,1
8277572.672814008,3697445.1741611855,3
8276596.346650476,3698812.2690334935,4
8277836.679378636,3701295.6322334805,3
8279878.9943125555,3701248.881904887,2
8279684.725331032,3694507.0224837055,3
8279336.037415486,3693385.6877201013,3
8276407.058924888,3690267.516328891,2
8274314.931431604,3690430.9961946183,2
8269273.900423981,3683263.288707423,2
8283500.367378305,3696177.534945557,4
8284262.499536568,3695856.26480333,3
8280451.838745232,3697351.7031807527,1
8280402.026185869,3698660.362041546,2
8277443.160159655,3698216.3370591667,2
